Age,Attrition,TravelFrequency,DailyRate,Department,Distance,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,Role,JobSatisfaction,Marital,MonthlyIncome,MonthlyRate,NumCompanies,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
50,1,Rarely,869,SALES,3,2,Marketing,1,MALE,86,2,1,Sales Representative,3,Married,2683,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2
35,0,Rarely,890,SALES,2,3,Marketing,4,FEMALE,97,3,1,Sales Representative,4,Married,2014,9687,1,No,13,3,1,0,2,3,3,2,2,2,2
36,0,Rarely,852,RESEARCH & DEVELOPMENT,5,4,Life Sciences,2,FEMALE,82,2,1,Research Scientist,1,Married,3419,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0
33,0,Frequently,1141,SALES,1,3,Life Sciences,3,FEMALE,42,4,2,Sales Executive,1,Married,5376,3193,2,No,19,3,1,2,10,3,3,5,3,1,3
35,0,Rarely,464,RESEARCH & DEVELOPMENT,4,2,Other,3,MALE,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,No,12,3,3,1,1,3,3,1,0,0,0
27,0,Rarely,1240,RESEARCH & DEVELOPMENT,2,4,Life Sciences,4,FEMALE,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,No,13,3,4,1,1,6,3,1,0,0,0
26,1,Rarely,1357,RESEARCH & DEVELOPMENT,25,3,Life Sciences,1,MALE,48,1,1,Laboratory Technician,3,Single,2293,10558,1,No,12,3,3,0,1,2,2,1,0,0,1
27,0,Frequently,994,SALES,8,3,Life Sciences,4,MALE,37,3,3,Sales Executive,3,Single,8726,2975,1,No,15,3,4,0,9,0,3,9,8,1,7
30,0,Frequently,721,RESEARCH & DEVELOPMENT,1,2,Medical,3,FEMALE,58,3,2,Laboratory Technician,4,Single,4011,10781,1,No,23,4,4,0,12,2,3,12,8,3,7
41,1,Rarely,1360,RESEARCH & DEVELOPMENT,12,3,Technical Degree,2,FEMALE,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8
34,0,Non-Travel,1065,SALES,23,4,Marketing,2,MALE,72,3,2,Sales Executive,3,Single,4568,10034,0,No,20,4,3,0,10,2,3,9,5,8,7
37,0,Rarely,408,RESEARCH & DEVELOPMENT,19,2,Life Sciences,2,MALE,73,3,1,Research Scientist,2,Married,3022,10227,4,No,21,4,1,0,8,1,3,1,0,0,0
46,0,Frequently,1211,SALES,5,4,Marketing,1,MALE,98,3,2,Sales Executive,4,Single,5772,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8
35,0,Rarely,1229,RESEARCH & DEVELOPMENT,8,1,Life Sciences,4,MALE,36,4,1,Laboratory Technician,4,Married,2269,4892,1,No,19,3,4,0,1,2,3,1,0,0,1
48,1,Rarely,626,RESEARCH & DEVELOPMENT,1,2,Life Sciences,1,MALE,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0
28,1,Rarely,1434,RESEARCH & DEVELOPMENT,5,4,Technical Degree,3,MALE,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2
44,0,Rarely,1488,SALES,1,5,Marketing,2,FEMALE,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3
35,0,Non-Travel,1097,RESEARCH & DEVELOPMENT,11,2,Medical,3,MALE,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3
26,0,Rarely,1443,SALES,23,3,Marketing,3,FEMALE,47,2,2,Sales Executive,4,Married,4157,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0
33,0,Frequently,515,RESEARCH & DEVELOPMENT,1,2,Life Sciences,1,FEMALE,98,3,3,Research Director,4,Single,13458,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12
35,0,Frequently,853,SALES,18,5,Life Sciences,2,MALE,71,3,3,Sales Executive,1,Married,9069,11031,1,No,22,4,4,1,9,3,2,9,8,1,8
35,0,Rarely,1142,RESEARCH & DEVELOPMENT,23,4,Medical,3,FEMALE,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2
31,0,Rarely,655,RESEARCH & DEVELOPMENT,7,4,Life Sciences,4,MALE,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,No,22,4,4,1,10,3,2,7,7,1,7
37,0,Rarely,1115,RESEARCH & DEVELOPMENT,1,4,Life Sciences,1,MALE,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,No,18,3,3,1,7,2,4,7,5,0,7
32,0,Rarely,427,RESEARCH & DEVELOPMENT,1,3,Medical,1,MALE,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8
38,0,Frequently,653,RESEARCH & DEVELOPMENT,29,5,Life Sciences,4,FEMALE,50,3,2,Laboratory Technician,4,Single,2406,5456,1,No,11,3,4,0,10,2,3,10,3,9,9
50,0,Rarely,989,RESEARCH & DEVELOPMENT,7,2,Medical,2,FEMALE,43,2,5,Research Director,3,Divorced,18740,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8
59,0,Rarely,1435,SALES,25,3,Life Sciences,1,FEMALE,99,3,3,Sales Executive,1,Single,7637,2354,7,No,11,3,4,0,28,3,2,21,16,7,9
36,0,Rarely,1223,RESEARCH & DEVELOPMENT,8,3,Technical Degree,3,FEMALE,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,No,13,3,2,3,17,2,3,17,14,12,8
55,0,Rarely,836,RESEARCH & DEVELOPMENT,8,3,Medical,4,FEMALE,33,3,4,Manager,3,Divorced,14756,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2
36,0,Frequently,1195,RESEARCH & DEVELOPMENT,11,3,Life Sciences,2,MALE,95,2,2,Manufacturing Director,2,Single,6499,22656,1,No,13,3,3,0,6,3,3,6,5,0,3
45,0,Rarely,1339,RESEARCH & DEVELOPMENT,7,3,Life Sciences,2,MALE,59,3,3,Research Scientist,1,Divorced,9724,18787,2,No,17,3,3,1,25,2,3,1,0,0,0
35,0,Frequently,664,RESEARCH & DEVELOPMENT,1,3,Medical,2,MALE,79,3,1,Research Scientist,1,Married,2194,5868,4,No,13,3,4,1,5,2,2,3,2,1,2
36,1,Rarely,318,RESEARCH & DEVELOPMENT,9,3,Medical,4,MALE,79,2,1,Research Scientist,3,Married,3388,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0
59,0,Frequently,1225,SALES,1,1,Life Sciences,1,FEMALE,57,2,2,Sales Executive,3,Single,5473,24668,7,No,11,3,4,0,20,2,2,4,3,1,3
29,0,Rarely,1328,RESEARCH & DEVELOPMENT,2,3,Life Sciences,3,MALE,76,3,1,Research Scientist,2,Married,2703,4956,0,No,23,4,4,1,6,3,3,5,4,0,4
31,0,Rarely,1082,RESEARCH & DEVELOPMENT,1,4,Medical,3,MALE,87,3,1,Research Scientist,2,Single,2501,18775,1,No,17,3,2,0,1,4,3,1,1,1,0
32,0,Rarely,548,RESEARCH & DEVELOPMENT,1,3,Life Sciences,2,MALE,66,3,2,Research Scientist,2,Married,6220,7346,1,No,17,3,2,2,10,3,3,10,4,0,9
36,0,Rarely,132,RESEARCH & DEVELOPMENT,6,3,Life Sciences,2,FEMALE,55,4,1,Laboratory Technician,4,Married,3038,22002,3,No,12,3,2,0,5,3,3,1,0,0,0
31,0,Rarely,746,RESEARCH & DEVELOPMENT,8,4,Life Sciences,3,FEMALE,61,3,2,Manufacturing Director,4,Single,4424,20682,1,No,23,4,4,0,11,2,3,11,7,1,8
35,0,Rarely,776,SALES,1,4,Marketing,3,MALE,32,2,2,Sales Executive,1,Single,4312,23016,0,No,14,3,2,0,16,2,3,15,13,2,8
45,0,Rarely,193,RESEARCH & DEVELOPMENT,6,4,Other,4,MALE,52,3,3,Research Director,1,Married,13245,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0
37,0,Rarely,397,RESEARCH & DEVELOPMENT,7,4,Medical,1,MALE,30,3,3,Research Director,3,Single,13664,25258,4,No,13,3,1,0,16,3,4,5,2,0,2
46,0,Rarely,945,HUMAN RESOURCES,5,2,Medical,2,MALE,80,3,2,Human Resources,2,Divorced,5021,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2
30,0,Rarely,852,RESEARCH & DEVELOPMENT,1,1,Life Sciences,4,MALE,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0
35,0,Rarely,1214,RESEARCH & DEVELOPMENT,1,3,Medical,2,MALE,30,2,1,Research Scientist,3,Single,2859,26278,1,No,18,3,1,0,6,3,3,6,4,0,4
55,0,Rarely,111,SALES,1,2,Life Sciences,1,MALE,70,3,3,Sales Executive,4,Married,10239,18092,3,No,14,3,4,1,24,4,3,1,0,1,0
38,0,Non-Travel,573,RESEARCH & DEVELOPMENT,6,3,Medical,2,FEMALE,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9
34,0,Rarely,1153,RESEARCH & DEVELOPMENT,1,2,Medical,1,MALE,94,3,2,Manufacturing Director,2,Married,4325,17736,1,No,15,3,3,0,5,2,3,5,2,1,3
56,0,Rarely,1400,RESEARCH & DEVELOPMENT,7,3,Life Sciences,4,MALE,49,1,3,Manufacturing Director,4,Single,7260,21698,4,No,11,3,1,0,37,3,2,6,4,0,2
23,0,Rarely,541,SALES,2,1,Technical Degree,3,MALE,62,3,1,Sales Representative,1,Divorced,2322,9518,3,No,13,3,3,1,3,3,3,0,0,0,0
51,0,Rarely,432,RESEARCH & DEVELOPMENT,9,4,Life Sciences,4,MALE,96,3,1,Laboratory Technician,4,Married,2075,18725,3,No,23,4,2,2,10,4,3,4,2,0,3
30,0,Rarely,288,RESEARCH & DEVELOPMENT,2,3,Life Sciences,3,MALE,99,2,2,Healthcare Representative,4,Married,4152,15830,1,No,19,3,1,3,11,3,3,11,10,10,8
46,1,Rarely,669,SALES,9,2,Medical,3,MALE,64,2,3,Sales Executive,4,Single,9619,13596,1,No,16,3,4,0,9,3,3,9,8,4,7
40,0,Frequently,530,RESEARCH & DEVELOPMENT,1,4,Life Sciences,3,MALE,78,2,4,Healthcare Representative,2,Married,13503,14115,1,No,22,4,4,1,22,3,2,22,3,11,11
51,0,Rarely,632,SALES,21,4,Marketing,3,MALE,71,3,2,Sales Executive,4,Single,5441,8423,0,Yes,22,4,4,0,11,2,1,10,7,1,0
30,0,Rarely,1334,SALES,4,2,Medical,3,FEMALE,63,2,2,Sales Executive,2,Divorced,5209,19760,1,Yes,12,3,2,3,11,4,2,11,8,2,7
46,0,Frequently,638,RESEARCH & DEVELOPMENT,1,3,Medical,3,MALE,40,2,3,Healthcare Representative,1,Married,10673,3142,2,Yes,13,3,3,1,21,5,2,10,9,9,5
32,0,Rarely,1093,SALES,6,4,Medical,2,MALE,87,3,2,Sales Executive,3,Single,5010,24301,1,No,16,3,1,0,12,0,3,11,8,5,7
54,0,Rarely,1217,RESEARCH & DEVELOPMENT,2,4,Technical Degree,1,FEMALE,60,3,3,Research Director,3,Married,13549,24001,9,No,12,3,1,1,16,5,1,4,3,0,3
24,0,Rarely,1353,SALES,3,2,Other,1,FEMALE,33,3,2,Sales Executive,3,Married,4999,17519,0,No,21,4,1,1,4,2,2,3,2,0,2
28,0,Non-Travel,120,SALES,4,3,Medical,2,MALE,43,3,2,Sales Executive,3,Married,4221,8863,1,No,15,3,2,0,5,3,4,5,4,0,4
58,0,Rarely,682,SALES,10,4,Medical,4,MALE,37,3,4,Sales Executive,3,Single,13872,24409,0,No,13,3,3,0,38,1,2,37,10,1,8
44,0,Non-Travel,489,RESEARCH & DEVELOPMENT,23,3,Medical,2,MALE,67,3,2,Laboratory Technician,2,Married,2042,25043,4,No,12,3,3,1,17,3,4,3,2,1,2
37,1,Rarely,807,HUMAN RESOURCES,6,4,Human Resources,3,MALE,63,3,1,Human Resources,1,Divorced,2073,23648,4,Yes,22,4,4,0,7,3,3,3,2,0,2
32,0,Rarely,827,RESEARCH & DEVELOPMENT,1,1,Life Sciences,4,MALE,71,3,1,Research Scientist,1,Single,2956,15178,1,No,13,3,4,0,1,2,3,1,0,0,0
20,1,Frequently,871,RESEARCH & DEVELOPMENT,6,3,Life Sciences,4,FEMALE,66,2,1,Laboratory Technician,4,Single,2926,19783,1,Yes,18,3,2,0,1,5,3,1,0,1,0
34,0,Rarely,665,RESEARCH & DEVELOPMENT,6,4,Other,1,FEMALE,41,3,2,Research Scientist,3,Single,4809,12482,1,No,14,3,3,0,16,3,3,16,13,2,10
37,0,Non-Travel,1040,RESEARCH & DEVELOPMENT,2,2,Life Sciences,3,MALE,100,2,2,Healthcare Representative,4,Divorced,5163,15850,5,No,14,3,4,1,17,2,4,1,0,0,0
59,0,Non-Travel,1420,HUMAN RESOURCES,2,4,Human Resources,3,FEMALE,32,2,5,Manager,4,Married,18844,21922,9,No,21,4,4,1,30,3,3,3,2,2,2
50,0,Frequently,1115,RESEARCH & DEVELOPMENT,1,3,Life Sciences,1,FEMALE,73,3,5,Research Director,2,Married,18172,9755,3,Yes,19,3,1,0,28,1,2,8,3,0,7
25,1,Rarely,240,SALES,5,3,Marketing,3,MALE,46,2,2,Sales Executive,3,Single,5744,26959,1,Yes,11,3,4,0,6,1,3,6,4,0,3
25,0,Rarely,1280,RESEARCH & DEVELOPMENT,7,1,Medical,4,MALE,64,2,1,Research Scientist,4,Married,2889,26897,1,No,11,3,3,2,2,2,3,2,2,2,1
22,0,Rarely,534,RESEARCH & DEVELOPMENT,15,3,Medical,2,FEMALE,59,3,1,Laboratory Technician,4,Single,2871,23785,1,No,15,3,3,0,1,5,3,0,0,0,0
51,0,Frequently,1456,RESEARCH & DEVELOPMENT,1,4,Medical,1,FEMALE,30,2,3,Healthcare Representative,1,Single,7484,25796,3,No,20,4,3,0,23,1,2,13,12,12,8
34,1,Frequently,658,RESEARCH & DEVELOPMENT,7,3,Life Sciences,1,MALE,66,1,2,Laboratory Technician,3,Single,6074,22887,1,Yes,24,4,4,0,9,3,3,9,7,0,6
54,0,Non-Travel,142,HUMAN RESOURCES,26,3,Human Resources,4,FEMALE,30,4,4,Manager,4,Single,17328,13871,2,Yes,12,3,3,0,23,3,3,5,3,4,4
24,0,Rarely,1127,RESEARCH & DEVELOPMENT,18,1,Life Sciences,2,MALE,52,3,1,Laboratory Technician,3,Married,2774,13257,0,No,12,3,3,1,6,2,3,5,3,1,2
34,0,Rarely,1031,RESEARCH & DEVELOPMENT,6,4,Life Sciences,3,FEMALE,45,2,2,Research Scientist,2,Divorced,4505,15000,6,No,15,3,3,1,12,3,3,1,0,0,0
37,0,Rarely,1189,SALES,3,3,Life Sciences,3,MALE,87,3,3,Sales Executive,4,Single,7428,14506,2,No,12,3,1,0,12,3,3,5,3,1,3
34,0,Rarely,1354,RESEARCH & DEVELOPMENT,5,3,Medical,3,FEMALE,45,2,3,Manager,1,Single,11631,5615,2,No,12,3,4,0,14,6,3,11,10,5,8
36,0,Frequently,1467,SALES,11,2,Technical Degree,2,FEMALE,92,3,3,Sales Executive,4,Married,9738,22952,0,No,14,3,3,1,10,6,3,9,7,2,8
36,0,Rarely,922,RESEARCH & DEVELOPMENT,3,2,Life Sciences,1,FEMALE,39,3,1,Laboratory Technician,4,Divorced,2835,2561,5,No,22,4,1,1,7,2,3,1,0,0,0
43,0,Frequently,394,SALES,26,2,Life Sciences,3,MALE,92,3,4,Manager,4,Married,16959,19494,1,Yes,12,3,4,2,25,3,4,25,12,4,12
30,0,Frequently,1312,RESEARCH & DEVELOPMENT,23,3,Life Sciences,1,MALE,96,1,1,Research Scientist,3,Divorced,2613,22310,1,No,25,4,3,3,10,2,2,10,7,0,9
33,0,Non-Travel,750,SALES,22,2,Marketing,3,MALE,95,3,2,Sales Executive,2,Married,6146,15480,0,No,13,3,1,1,8,2,4,7,7,0,7
56,1,Rarely,441,RESEARCH & DEVELOPMENT,14,4,Life Sciences,2,FEMALE,72,3,1,Research Scientist,2,Married,4963,4510,9,Yes,18,3,1,3,7,2,3,5,4,4,3
51,0,Rarely,684,RESEARCH & DEVELOPMENT,6,3,Life Sciences,1,MALE,51,3,5,Research Director,3,Single,19537,6462,7,No,13,3,3,0,23,5,3,20,18,15,15
31,1,Rarely,249,SALES,6,4,Life Sciences,2,MALE,76,1,2,Sales Executive,3,Married,6172,20739,4,Yes,18,3,2,0,12,3,2,7,7,7,7
26,0,Rarely,841,RESEARCH & DEVELOPMENT,6,3,Other,3,FEMALE,46,2,1,Research Scientist,2,Married,2368,23300,1,No,19,3,3,0,5,3,2,5,4,4,3
58,1,Rarely,147,RESEARCH & DEVELOPMENT,23,4,Medical,4,FEMALE,94,3,3,Healthcare Representative,4,Married,10312,3465,1,No,12,3,4,1,40,3,2,40,10,15,6
19,1,Rarely,528,SALES,22,1,Marketing,4,MALE,50,3,1,Sales Representative,3,Single,1675,26820,1,Yes,19,3,4,0,0,2,2,0,0,0,0
22,0,Rarely,594,RESEARCH & DEVELOPMENT,2,1,Technical Degree,3,MALE,100,3,1,Laboratory Technician,4,Married,2523,19299,0,No,14,3,3,1,3,2,3,2,1,2,1
49,0,Rarely,470,RESEARCH & DEVELOPMENT,20,4,Medical,3,FEMALE,96,3,2,Manufacturing Director,1,Married,6567,5549,1,No,14,3,3,0,16,2,2,15,11,5,11
43,0,Frequently,957,RESEARCH & DEVELOPMENT,28,3,Medical,2,FEMALE,72,4,1,Research Scientist,3,Single,4739,16090,4,No,12,3,4,0,18,2,3,3,2,1,2
50,0,Frequently,809,SALES,12,3,Marketing,3,FEMALE,77,3,3,Sales Executive,4,Single,9208,6645,4,No,11,3,4,0,16,3,3,2,2,2,1
31,1,Rarely,542,SALES,20,3,Life Sciences,2,FEMALE,71,1,2,Sales Executive,3,Married,4559,24788,3,Yes,11,3,3,1,4,2,3,2,2,2,2
41,0,Rarely,802,SALES,9,1,Life Sciences,3,MALE,96,3,3,Sales Executive,3,Divorced,8189,21196,3,Yes,13,3,3,1,12,2,3,9,7,0,7
26,0,Rarely,1355,HUMAN RESOURCES,25,1,Life Sciences,3,FEMALE,61,3,1,Human Resources,3,Married,2942,8916,1,No,23,4,4,1,8,3,3,8,7,5,7
36,0,Rarely,216,RESEARCH & DEVELOPMENT,6,2,Medical,2,MALE,84,3,2,Manufacturing Director,2,Divorced,4941,2819,6,No,20,4,4,2,7,0,3,3,2,0,1
51,1,Frequently,1150,RESEARCH & DEVELOPMENT,8,4,Life Sciences,1,MALE,53,1,3,Manufacturing Director,4,Single,10650,25150,2,No,15,3,4,0,18,2,3,4,2,0,3
39,0,Rarely,1329,SALES,4,4,Life Sciences,4,FEMALE,47,2,2,Sales Executive,3,Married,5902,14590,4,No,14,3,3,1,17,1,4,15,11,5,9
25,0,Rarely,959,SALES,28,3,Life Sciences,1,MALE,41,2,2,Sales Executive,3,Married,8639,24835,2,No,18,3,4,0,6,3,3,2,2,2,2
30,0,Rarely,1240,HUMAN RESOURCES,9,3,Human Resources,3,MALE,48,3,2,Human Resources,4,Married,6347,13982,0,Yes,19,3,4,0,12,2,1,11,9,4,7
32,1,Rarely,1033,RESEARCH & DEVELOPMENT,9,3,Medical,1,FEMALE,41,3,1,Laboratory Technician,1,Single,4200,10224,7,No,22,4,1,0,10,2,4,5,4,0,4
45,0,Rarely,1316,RESEARCH & DEVELOPMENT,29,3,Medical,3,MALE,83,3,1,Research Scientist,4,Single,3452,9752,5,No,13,3,2,0,9,2,2,6,5,0,3
38,0,Rarely,364,RESEARCH & DEVELOPMENT,3,5,Technical Degree,4,FEMALE,32,3,2,Research Scientist,3,Single,4317,2302,3,Yes,20,4,2,0,19,2,3,3,2,2,2
30,0,Rarely,438,RESEARCH & DEVELOPMENT,18,3,Life Sciences,1,FEMALE,75,3,1,Research Scientist,3,Single,2632,23910,1,No,14,3,3,0,5,4,2,5,4,0,4
32,0,Frequently,689,SALES,9,2,Medical,4,MALE,35,1,2,Sales Executive,4,Divorced,4668,22812,0,No,17,3,4,3,9,2,4,8,7,0,7
